Trial,Segment,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,RelativeDurationofPrimary,RelativeSizeofPrimary,FrequencyofSecondary,AbsoluteSize,AverageAbsoluteVelocity,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,AverageNormalizedJerkPerTrial,Score,NumberOfPeakAccelerationPoints,AveragePenPressure,TrialSeq,NumOfStrokes
1,1,0.095,0.7984,15.2064,-3.7146,-8.3477,-60.0398,18.7616,1.1082,0.1271,-1.3294,0,1.4673,0.5399,1,0,0,0,3.8764,6.8747,5.4888,742.186,77.1112,111.9883,1226.3042,127.4099,258.3467,3,10,3649.975,1,3
1,2,0.8934,1.0928,11.4918,3.805,7.1179,85.6309,19.8698,-0.058,0.1956,1.6245,0,-1.478,0.4163,1,0,0,0,3.8054,6.1599,6.7314,1010.9744,234.5053,111.9883,2286.5067,530.3773,258.3467,3,16,4875.794521,1,3
1,3,1.9862,0.4388,15.2967,-0.1976,-1.1125,-24.822,19.8118,-1.2674,0.009,-2.998,0,-0.0226,0.8422,1,0,0,0,1.2827,2.9363,1.2885,346.2432,24.3484,111.9883,1667.3791,117.253,258.3467,3,9,4827.195402,1,3
2,1,0.1324,0.9662,19.7531,-6.8049,-12.9381,-73.6482,28.5826,1.5552,0.1082,-1.3024,0,-1.541,0.4167,1,0,0,0,6.9803,9.7917,9.4609,1167.2196,108.5052,108.3815,1619.7863,150.5759,189.4562,3.5,11,3425.031088,2,3
2,2,1.0986,1.3214,12.9482,6.9641,11.3123,76.2714,30.1378,-0.8536,0.1902,1.6312,0,1.5594,0.4464,1,0,0,0,7.0163,9.5064,12.5614,1067.6945,215.9626,108.3815,2055.386,415.7429,189.4562,3.5,20,4956.450758,2,3
2,3,2.42,0.115,19.9124,-0.0814,-1.035,-27.827,29.2841,-0.9778,0.0049,-3.0512,0,-0.0129,0.4725,1,0,0,0,0.9812,8.5369,0.9819,209.3475,0.6768,108.3815,634.0713,2.0499,189.4562,3.5,1,4979,2,3
