Trial,Segment,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,RelativeDurationofPrimary,RelativeSizeofPrimary,FrequencyofSecondary,AbsoluteSize,AverageAbsoluteVelocity,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,AverageNormalizedJerkPerTrial,Score,NumberOfPeakAccelerationPoints,AveragePenPressure,TrialSeq,NumOfStrokes
3,3,0.5552,0.1931,2.0769,-0.3281,-2.9281,-59.6277,1.5167,-0.3714,0.1425,-2.6576,0,-0.8842,0.5148,0,0,0,0,0.4956,5.3554,1.0342,411.569,9.6233,32.7683,1188.576,27.7912,59.2687,3,2,0,3,8
3,4,0.7483,0.1108,1.7489,0.0501,0.803,15.5644,1.1453,-0.0913,0.1059,2.4784,-0.0901,0.3567,0.6757,0,0,0,0,0.1042,1.1609,0.1286,263.4861,7.299,32.7683,648.3605,17.9606,59.2687,3,0,0,3,8
3,5,0.8591,0.0875,1.799,-0.0533,-1.1012,-45.6909,1.054,-0.1184,0.0223,-2.6946,0,-0.0096,0.4003,0.2222,0,0,0,0.1298,1.5068,0.1319,395.5275,4.8835,32.7683,666.6704,8.2313,59.2687,3,1,68,3,8
3,6,0.9466,0.3828,1.7458,0.1305,0.9109,22.4529,0.9356,0.6743,0.0115,0.2029,-0.0002,-1.3398,0.4006,1,0,0,0,0.6868,1.8512,0.7087,242.7239,22.6605,32.7683,580.6513,54.2091,59.2687,3,4,700.342105,3,8
3,7,1.3294,0.337,1.8763,-0.2575,-1.4341,-13.0642,1.6099,0.3394,0.0869,-0.6766,0,0.5775,0.6621,1,0,0,0,0.4261,1.5227,0.5131,171.0223,18.7133,32.7683,386.5725,42.2988,59.2687,3,4,731.794118,3,8
3,8,1.6664,0.4431,1.6188,0.6182,2.9176,47.9936,1.9494,0.0049,0.052,1.333,-0.0108,0.954,0.2114,1,0,0,0,0.6182,1.7485,0.7747,661.1283,98.8095,32.7683,816.6097,122.0471,59.2687,3,7,699.863636,3,8
1,1,0.02,0.0605,8.5082,0.0291,0.746,25.7937,0.6664,-0.0803,0.023,2.776,0,0,0.5565,1,0,0,0,0.0854,1.4282,0.0865,379.5751,2.8334,28.9082,536.3348,4.0036,43.2676,3.5,1,514.714286,1,5
1,2,0.0805,0.4524,8.5373,-1.024,-3.414,-52.5618,0.5861,-0.0393,0.0724,-1.3286,0,-1.0684,0.3526,1,0,0,0,1.0248,2.8772,1.3015,307.6642,29.2185,28.9082,606.534,57.6018,43.2676,3.5,4,591.288889,1,5
1,3,0.5329,0.4144,7.5132,1.1888,7.5454,133.5516,0.5468,-0.0551,0.0405,1.4872,-0.1458,0.6999,0.2173,0.122,0,0,0,1.19,3.2437,1.3441,1230.0524,80.787,28.9082,1569.0729,103.0531,43.2676,3.5,6,63.804878,1,5
1,4,0.9473,0.2447,8.7019,-0.1544,-1.5761,-24.2534,0.4916,0.2076,0.0647,-0.7178,0.0005,1.1083,0.7392,0.84,0,0,0,0.2587,1.2889,0.3154,273.1566,22.1244,28.9082,466.639,37.7956,43.2676,3.5,3,410.48,1,5
1,5,1.192,0.198,8.5475,0.2246,1.9185,47.4437,0.6992,0.2484,0.0549,0.837,0,-0.3029,0.3174,1,0,0,0,0.3349,1.9115,0.3784,260.1498,9.5776,28.9082,377.1255,13.8841,43.2676,3.5,1,610.421053,1,5
