Trial,Segment,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,RelativeDurationofPrimary,RelativeSizeofPrimary,FrequencyofSecondary,AbsoluteSize,AverageAbsoluteVelocity,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,AverageNormalizedJerkPerTrial,Score,NumberOfPeakAccelerationPoints,AveragePenPressure,TrialSeq,NumOfStrokes
1,1,0.01,0.2919,16.7628,0.0935,0.5683,17.0032,22.3549,-0.2656,0.0326,2.8057,0,-0.6743,0.1508,1,0,0,0,0.2816,1.0038,0.293,150.7844,17.4323,569.4903,172.0727,19.8935,741.5356,3,4,1819.830508,1,15
1,2,0.3019,1.7448,16.8563,-3.1287,-3.1519,-34.7176,22.0893,0.2905,0.1442,-1.5785,0,1.634,0.4611,1,0,0,0,3.1421,2.7169,4.7405,718.5086,650.2437,569.4903,946.5786,856.645,741.5356,3,25,2162.232092,1,15
1,3,2.0467,1.9627,13.7276,3.3948,2.962,33.7858,22.3799,0.4205,0.1437,1.5982,0,-1.4469,0.4316,1,0,0,0,3.4208,2.6511,5.2034,711.9258,794.2382,569.4903,1230.1781,1372.4104,741.5356,3,31,3619.543367,1,15
1,4,4.0095,0.588,17.1225,-0.1574,-0.565,-13.0008,22.8003,-0.7488,0.0079,-2.9349,0,-0.0699,0.7525,1,0,0,0,0.7652,1.3088,0.7696,461.2537,113.0218,569.4903,923.2988,226.2375,741.5356,3,7,3719.033898,1,15
1,5,4.5975,0.1311,16.965,0.55,6.6112,129.7425,22.0515,3.9114,0.013,0.1523,0,0.1536,0.7331,0.0769,0,0,0,3.9499,30.432,3.989,2210.7143,2.4619,569.4903,17558.1537,19.5528,741.5356,3,2,86.576923,1,15
1,6,4.7286,0.1555,17.515,-0.7871,-7.7598,-364.7211,25.963,0.3683,0.1477,-1.8926,0,-0.6335,0.2139,0,0,0,0,0.869,10.7285,1.6683,3128.3969,24.272,569.4903,15756.5187,122.2485,741.5356,3,3,0,1,15
1,7,4.8841,0.0719,16.7279,0.2254,5.0587,240.4722,26.3313,0.5073,0.0159,0.4704,0,0,0.4609,0,0,0,0,0.5551,7.8271,0.5624,1886.5472,3.326,569.4903,2378.8862,4.194,741.5356,3,1,0,1,15
1,8,4.9559,0.2414,16.9533,-0.7064,-6.6472,-212.1892,26.8386,0.1808,0.0229,-1.412,0,-0.0109,0.2635,0,0,0,0,0.7292,3.2105,0.7749,1031.6053,28.6328,569.4903,1323.8277,36.7437,741.5356,3,2,0,1,15
1,9,5.1973,1.3185,16.2469,0.7375,2.6718,87.8854,27.0193,0.5297,0.0779,1.2296,0,-1.1763,0.3756,0.1742,0,0,0,0.908,0.996,1.3132,2505.6134,3894.7041,569.4903,2732.5595,4247.4672,741.5356,3,21,313.287879,1,15
1,10,6.5158,2.2505,16.9844,-3.1717,-3.7992,-44.4232,27.5491,-1.5482,0.013,-2.0466,-0.0221,0.3885,0.1814,1,0,0,0,3.5294,1.6089,3.6207,1034.0911,1574.1014,569.4903,1415.605,2154.8448,741.5356,3,39,4422.857778,1,15
1,11,8.7663,0.8657,13.8126,0.244,1.6021,34.607,26.0009,2.9679,0.0072,0.0727,0,0.114,0.0789,1,0,0,0,2.9779,3.447,2.9841,359.801,59.5745,569.4903,1734.0606,287.1191,741.5356,3,14,4977,1,15
1,12,9.632,0.4961,14.0566,-0.0158,-0.2545,-13.5402,28.9687,0.9643,0.0012,-0.0141,0,0.0067,0.9703,0.9899,0,0,0,0.9645,1.9534,0.969,344.6189,43.7898,569.4903,612.1177,77.7801,741.5356,3,6,4786.212121,1,15
1,13,10.128,0.2085,14.0408,0.462,4.0061,83.915,29.933,-0.0124,0.0669,1.4816,0,0.0355,0.3318,0,0,0,0,0.4621,2.4962,0.5204,812.1888,24.6665,569.4903,1343.7617,40.8106,741.5356,3,5,0,1,15
1,14,10.3365,0.8157,14.5028,-0.4885,-3.2699,-52.1331,29.9206,0.0662,0.0285,-1.3879,0.0243,-0.4751,0.1991,0.2945,0,0,0,0.493,0.7869,0.6419,1062.2135,915.581,569.4903,1291.6296,1113.3275,741.5356,3,9,664.730061,1,15
