Trial,Segment,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,RelativeDurationofPrimary,RelativeSizeofPrimary,FrequencyofSecondary,AbsoluteSize,AverageAbsoluteVelocity,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,AverageNormalizedJerkPerTrial,Score,NumberOfPeakAccelerationPoints,AveragePenPressure,TrialSeq,NumOfStrokes
1,1,0.0257,1.1512,20.0765,-6.113,-8.6824,-66.6153,19.6374,-0.4153,0.13,-1.6305,0,-1.3116,0.2776,1,0,0,0,6.1271,7.5623,8.7055,1063.7175,174.5414,462.756,1572.3536,258.0015,689.1461,3,16,2524.321739,1,2
1,2,1.1768,1.8282,13.9635,6.508,7.7955,68.3029,19.2221,1.8743,0.1391,1.3427,0,-1.3138,0.5722,1,0,0,0,6.7725,5.6307,10.2938,1591.6795,750.9706,462.756,2374.4521,1120.2907,689.1461,3,32,3696.816438,1,2
2,1,0.0819,1.1298,21.2585,-5.157,-9.1836,-74.9166,24.7255,0.9344,0.1671,-1.3299,0,-1.4619,0.2096,1,0,0,0,5.241,7.4651,8.4339,762.958,139.6571,197.1512,1516.8769,277.6596,296.9226,3.5,16,3720.982301,2,3
2,2,1.2117,1.3227,16.1015,5.5117,8.9607,74.1643,25.6599,0.1856,0.1074,1.5811,0,-1.4194,0.348,1,0,0,0,5.5148,5.8405,7.7253,1699.0059,438.3457,197.1512,2245.0391,579.223,296.9226,3.5,19,4962.162879,2,3
2,3,2.5344,0.2956,21.6132,-0.213,-1.4328,-24.788,25.8456,-0.8748,0.0206,-2.8709,0,-0.1834,0.7448,1,0,0,0,0.9003,3.0761,0.9094,360.4418,13.4508,197.1512,908.0285,33.8853,296.9226,3.5,6,4994,2,3
