Trial,Segment,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,RelativeDurationofPrimary,RelativeSizeofPrimary,FrequencyofSecondary,AbsoluteSize,AverageAbsoluteVelocity,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,AverageNormalizedJerkPerTrial,Score,NumberOfPeakAccelerationPoints,AveragePenPressure,TrialSeq,NumOfStrokes
1,1,0,0.4201,18.3252,0.5011,2.1367,21.6829,23.6015,-0.7328,0.093,2.456,0,-1.1609,0.538,1,0,0,0,0.8878,2.5572,1.0744,297.5548,27.1155,237.2994,587.8105,53.5659,449.7809,3,5,2412.729412,1,3
1,2,0.4201,0.8091,18.8263,-3.5891,-9.3592,-68.2848,22.8686,0.1991,0.1345,-1.527,0,-1.4614,0.5811,1,0,0,0,3.5946,6.6757,5.4015,602.4172,69.7856,237.2994,811.1006,93.96,449.7809,3,12,3348.223602,1,3
1,3,1.2293,1.8607,15.2373,3.5159,5.4476,49.074,23.0677,0.2832,0.2221,1.8933,12.415,-1.8023,0.2107,1,0,0,0,3.5273,3.7375,6.9545,649.5529,614.9971,237.2994,1269.3451,1201.8167,449.7809,3,28,4850.126344,1,3
2,1,0.44,0.893,17.3004,-1.7553,-3.8493,-36.2937,22.781,0.418,0.1356,-1.3339,0,1.5062,0.5601,1,0,0,0,1.8044,3.0325,2.7079,444.862,131.3646,62.1945,621.2458,183.4495,117.4117,3.5,14,2891.815642,2,5
2,2,1.333,1.1176,15.5451,1.821,2.8175,22.3051,23.199,0.8569,0.1482,1.1116,0,-0.9989,0.3145,1,0,0,0,2.0125,2.907,3.2489,366.9542,170.2384,62.1945,798.9199,370.6371,117.4117,3.5,21,4350.209821,2,5
2,3,2.4506,0.2394,17.3661,-0.0863,-0.6672,-7.5027,24.0559,-0.5993,0.0073,-2.9669,0,-0.0939,0.5063,1,0,0,0,0.6055,2.5362,0.6072,67.3175,2.2051,62.1945,354.7459,11.6203,117.4117,3.5,2,4997,2,5
2,4,2.69,0.0675,17.2798,0.0043,0.1024,8.7936,23.4565,-0.2016,0.001,3.1162,0,0,0.4187,1,0,0,0,0.2017,2.9904,0.2017,48.514,0.201,62.1945,163.1162,0.6759,117.4117,3.5,1,4997,2,5
2,5,2.7575,0.3525,17.2841,-0.1457,-0.9334,-9.9433,23.2549,-0.8144,0.0265,-2.9579,0,-0.1707,0.6768,1,0,0,0,0.8273,2.3835,0.8403,110.3933,6.9632,62.1945,327.7851,20.6756,117.4117,3.5,5,4842.857143,2,5
