Trial,Segment,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,RelativeDurationofPrimary,RelativeSizeofPrimary,FrequencyofSecondary,AbsoluteSize,AverageAbsoluteVelocity,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,AverageNormalizedJerkPerTrial,Score,NumberOfPeakAccelerationPoints,AveragePenPressure,TrialSeq,NumOfStrokes
1,1,0.14,0.2242,24.9849,0.175,1.0784,20.281,7.6254,-0.6312,0.0068,2.8374,0,0.0048,0.6972,1,0,0,0,0.6551,2.9336,0.6577,189.576,4.8697,146.9756,531.9115,13.6634,200.1933,3,3,4858.466667,1,3
1,2,0.3642,1.1365,25.1599,-3.7102,-6.6373,-31.6022,6.9942,0.1441,0.1181,-1.5503,0,-1.3892,0.4668,1,0,0,0,3.713,4.5535,5.175,582.9139,152.8576,146.9756,763.0278,200.0888,200.1933,3,17,4890.469298,1,3
1,3,1.5007,1.1832,21.4497,3.8033,5.8543,46.8233,7.1383,0.0114,0.0968,1.6231,7.9496,-1.4939,0.6522,1,0,0,0,3.8033,4.2035,4.9737,1000.2458,283.1994,146.9756,1366.2554,386.8276,200.1933,3,17,4962.682203,1,3
2,1,0.04,0.2295,14.2929,0.3414,2.564,45.0465,28.4803,-0.965,0.0224,2.7654,0,-0.246,0.3606,1,0,0,0,1.0236,4.5338,1.0403,390.8737,6.8097,221.9094,865.2684,15.0744,321.7459,2.5,4,2755.326087,2,3
2,2,0.2695,1.095,14.6343,-4.8058,-8.3728,-58.5389,27.5153,-0.7601,0.1699,-1.7489,0,-1.2747,0.2687,1,0,0,0,4.8655,7.2372,7.9249,682.3523,124.4281,221.9094,1207.9704,220.2754,321.7459,2.5,15,3856.949772,2,3
2,3,1.3645,1.4355,9.8285,4.8876,6.2398,78.915,26.7552,1.2906,0.112,1.3942,0,-1.2916,0.1564,1,0,0,0,5.0551,4.7245,6.7821,1547.5863,534.4904,221.9094,2113.349,729.888,321.7459,2.5,18,4972,2,3
3,1,0,0.2389,11.8685,0.1535,0.9783,12.7695,20.1082,-0.5568,0.0181,2.865,0,-0.2496,0.4996,1,0,0,0,0.5775,2.4424,0.5835,150.0151,5.1234,326.906,515.6862,17.6122,472.5621,2,4,2016.6875,3,3
3,2,0.2389,1.3751,12.022,-4.8014,-8.1302,-78.2008,19.5514,0.0959,0.1604,-1.576,0,-1.2993,0.2332,1,0,0,0,4.8023,5.4434,7.4853,960.2747,313.5294,326.906,1553.6223,507.2573,472.5621,2,25,3838.061818,3,3
3,3,1.614,1.781,7.2207,4.7139,4.8558,43.4342,19.6473,0.3543,0.1286,1.5852,0,-1.5051,0.4781,1,0,0,0,4.7272,3.8528,6.8618,1045.6046,662.0652,326.906,1410.0322,892.8168,472.5621,2,29,5000,3,3
