Trial,Segment,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,RelativeDurationofPrimary,RelativeSizeofPrimary,FrequencyofSecondary,AbsoluteSize,AverageAbsoluteVelocity,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,AverageNormalizedJerkPerTrial,Score,NumberOfPeakAccelerationPoints,AveragePenPressure,TrialSeq,NumOfStrokes
1,1,0.0004,0.2261,6.9415,-1.1693,-8.7243,-131.0848,1.5837,-0.0188,0.0084,-1.5674,0,-0.1248,0.5542,1,0,0,0,1.1695,5.196,1.1748,994.7493,14.6194,32.5262,1045.5792,15.3664,45.2134,3,2,425.272727,1,58
1,2,0.2265,0.2174,5.7721,1.3394,13.0915,223.7835,1.5649,0.0918,0.0043,1.492,-0.0005,0.0494,0.3864,0.3182,0,0,0,1.3426,6.1831,1.3441,1817.497,21.089,32.5262,1843.6901,21.3929,45.2134,3,3,120.954545,1,58
1,3,0.4439,0.1819,7.1119,-0.6913,-6.2788,-141.434,1.6567,0.4904,0.0714,-1.0368,0.0006,-0.4578,0.3705,1,0,0,0,0.8476,5.2497,0.9547,929.1855,10.9318,32.5262,1017.0933,11.966,45.2134,3,2,413.388889,1,58
1,4,0.6257,0.3664,6.4204,1.0474,8.742,129.5106,2.1471,-0.3585,0.1563,2.2872,0,-1.4648,0.2352,0.7838,0,0,0,1.107,5.0936,1.8663,1423.6126,73.8973,32.5262,1792.0818,93.0239,45.2134,3,3,418.027027,1,58
1,5,0.9921,0.1483,7.4676,-0.2608,-3.3998,-68.7325,1.7886,0.0399,0.0728,-1.4425,0.0009,-0.5196,0.6062,0.7333,0,0,0,0.2638,2.0733,0.3074,800.907,18.1684,32.5262,882.7906,20.0259,45.2134,3,3,238.666667,1,58
1,6,1.1404,0.1678,7.2068,0.9023,8.8131,135.7672,1.8286,0.4322,0.0337,1.1664,0,-0.2368,0.5598,1,0,0,0,1.0005,6.1986,1.0404,990.5854,8.0802,32.5262,1140.069,9.2996,45.2134,3,1,590.125,1,58
1,7,1.3082,0.3281,8.1092,-1.7155,-11.035,-182.0947,2.2607,1.1488,0.058,-0.9423,0,-0.5698,0.2618,0.2121,0,0,0,2.0646,6.7181,2.204,1056.8655,22.3129,32.5262,1251.7007,26.4264,45.2134,3,3,91.848485,1,58
1,8,1.6363,0.1088,6.3936,0.1753,2.6852,67.6917,3.4095,-0.1176,0.0737,2.0408,0,-0.2668,0.485,0.9091,0,0,0,0.2111,2.2426,0.244,554.6154,7.2522,32.5262,634.4869,8.2966,45.2134,3,1,398.090909,1,58
1,9,1.7451,0.1338,6.5691,-0.2996,-3.8265,-86.4123,3.2919,-0.2188,0.0505,-2.1634,0.0132,-0.1765,0.4518,1,0,0,0,0.371,3.1192,0.4174,626.759,7.8265,32.5262,700.5065,8.7474,45.2134,3,1,481.076923,1,58
1,10,1.8789,0.1179,6.2694,0.235,3.4662,83.9497,3.0731,0.3422,0.0104,0.6455,0,-0.0087,0.4684,1,0,0,0,0.4151,3.5666,0.4203,691.3267,5.6146,32.5262,899.3279,7.3038,45.2134,3,1,488.416667,1,58
