Id,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,label
105-410,1.5,1.833,1.833,1.667,1.833,1.833,1.667,1.5,1.833,1.833,1.167,0
101-500,1.5,1.833,1.833,1.833,1.833,1.833,2,1.667,1.833,1.833,2,0
101-501,1.5,1.833,1.833,1.833,1.833,1.833,1.667,1.5,1.833,1.833,2,0
101-502,1.25,2,1.75,1.75,1.25,1.75,1.75,1.25,1.75,1.25,2,0
101-503,1.375,1.625,3.125,2.625,2,1.625,1.625,2.375,2.375,1.625,2.375,0
101-504,1.571,1.714,2.571,2.143,1.571,1.714,1.571,2,1.714,1.571,2,0
102-500,2.15,1.75,2.8,2.6,2.25,3.55,1.5,2.15,1.8,2,1.05,0
105-500,1.6,3.2,6.6,1.8,1.8,1.8,1.2,1.8,2.6,1.8,2,0
105-501,1.833,1.833,1.833,1.5,1.667,1.667,1.667,2.333,1.833,1.667,2,0
105-502,1.25,1.5,2.25,1.25,1.25,1.25,1.25,2.5,1.75,1.25,2,0
105-503,1.5,1.833,1.833,1.833,1.833,1.833,1.167,2.667,1.833,1.833,2,0
105-504,1.25,2,2.25,1.25,1.75,1.25,1.25,2,1.75,1.25,2,0
105-505,2.556,2,2.481,4.815,3.519,2.481,2.963,2.889,1.593,2.593,1.037,0
105-506,1.778,1.556,1.778,1.667,2.111,2.333,1.556,2.333,2.444,1.667,652.333,0
105-507,1.5,1.667,1.833,1.5,1.833,1.833,1.667,3.5,1.833,1.833,2,0
105-508,2.543,2.257,3.029,4.743,4.086,5.486,2.743,3.914,2,2.686,1.029,0
105-509,1.667,2,1.667,2,2,2,2,1.667,2,2,2,0
105-510,1.571,1.714,2.571,1.714,2.143,2,1.714,2.143,1.714,1.714,2,0
105-511,1.625,1.875,5.125,1.75,2.5,1.75,1.75,1.875,2.5,1.75,2,0
