Id,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StraightnessError,Slant,LoopSurface,AveragePenPressure,AverageAbsoluteVelocity,label
105-403,2.294,2.941,1.529,2.059,2.059,2.824,2.529,2.412,410.471,2.353,2.647,0
105-404,2.364,3.955,1.909,2.045,1.818,2.364,2.273,2.773,1.045,2.273,2.727,0
105-405,3.091,2.673,3.964,5.891,5.8,5.873,2.236,2.945,1.018,1.927,2.8,0
105-406,2.471,2.176,2.176,1.941,2,2.294,1.588,1.588,2177.529,2,2.765,0
105-407,1.98,2.98,2.449,3.612,4.388,4.224,3.286,2.735,1.02,2.408,4.224,0
105-408,2.264,3.75,5.153,5.889,3.972,3.403,2.306,3.194,1.014,2.083,3.361,1
105-409,1.826,2.826,2.087,2.609,2.87,2.565,2.13,1.913,1.043,2.217,3.913,0
105-410,2.5,1.889,2.222,2.389,1.889,3.278,2.389,1.889,1.056,3.056,2.556,0
105-500,3.632,3.726,4.651,5.151,4.34,4.708,3.358,3.358,613.679,2.198,3.415,0
105-501,2.524,4.146,3.463,3.415,3.061,6.183,3.341,2.915,1.012,2.293,4.061,0
105-502,2.143,2.286,3.524,1.857,2.286,3,2.905,2.905,1.048,3.238,3.81,0
105-503,2.735,2.971,2.471,3.353,2.382,3.265,2.029,2.147,1.029,2.088,4.118,0
105-504,2.244,2.6,11.422,3.578,3.333,3.933,2.289,2.778,1931.867,2.111,2.911,0
105-505,2.661,4.723,4.42,3.429,3.241,3.446,3.652,3.768,1.009,2.705,4.062,0
105-506,2.176,1.706,2.176,2,1.941,1.941,1.765,1.824,29.271,1.941,3.529,0
105-507,2.926,3.147,3.937,3.358,2.863,13.916,4.063,3.674,442.642,2.232,4.958,0
105-508,2.125,2.944,5.181,5.25,4.653,4.264,2.597,2.972,388.889,2.431,3.681,0
105-509,1.824,2.765,3.529,2.412,2.059,2.529,1.647,2.118,1.059,1.647,2.588,0
105-510,2.479,2.875,3.5,2.875,5.167,7.771,3.292,2.25,1.021,2.208,3.812,0
105-511,2.278,2.37,5.426,3.204,3.037,2.722,3.093,2.741,1.019,2.074,3.537,0
